Time,compartment,s1,at,s2,s3,na,s4,s5,s6,s6o,k0,k1,k2,k31,k33,k32,k34,k4,k5,k6,k7,k8,k9,k10,atot,ntot,n,ki,v1,v2,v3,v4,v5,v7,v8,v9,v10,v6,v0
0.1975,1.0,1.1392446024110143,2.5214404773518773,4.8895228325992335,0.5318233539734697,0.5941135347890234,0.6366904201029346,8.212942706036346,0.07451297426415117,0.023574721262851484,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,37.923716575539636,48.162657273274384,78.45276996252097,75.33518049337603,79.77225814946033,70.09486719497676,18.665717870018085,1.8811488049692184,19.051787218616756,60.64161901276117,50.0
0.2,1.0,1.168509675343937,2.536318398632029,4.865758398122676,0.52970084928109,0.5961092552694277,0.6434611123490576,8.202218290901994,0.07469874418151086,0.023635136764811455,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,38.14342510217868,47.91732375947249,78.16708666792351,75.31077468976221,79.66554424855255,70.60033336585256,18.499193538062354,1.8859777010281187,19.101844875487384,60.48761547286558,50.0
0.2025,1.0,1.1968628052290522,2.547961346625385,4.843470459223506,0.527499796301991,0.5979834501060196,0.6494271655517896,8.191910209580223,0.07487424496507511,0.023694841892691325,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,38.460400319676204,47.68443230160223,77.89958142300212,75.34577530728677,79.56151742174934,71.0169151616968,18.334766881897654,1.8908109411849163,19.148852781262278,60.34026283581785,50.0
0.205,1.0,1.2240671690798375,2.556323053438639,4.8228572217292145,0.5252329943512124,0.5997158766315419,0.6544972921926026,8.182152002750923,0.07503748251035665,0.023753096945050525,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,38.87270164043068,47.46601050039037,77.65259421489039,75.43946775461708,79.46152903292815,71.34291770551079,18.1738546489492,1.895587351415306,19.19227615214392,60.20137127355245,50.0
0.2075,1.0,1.2498872688746787,2.5613642858481684,4.804110790732835,0.522914535390531,0.6012884691090697,0.658588904135232,8.173070420276254,0.07518666624015076,0.02380919717159391,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,39.37929801864796,47.264000772946304,77.42824242367728,75.59061218602362,79.36687442668395,71.5770454962819,18.017776140281203,1.900247755604042,19.231644586989795,60.07262581286824,50.0
0.21,1.0,1.274086220505734,2.5630459462872763,4.787419997020401,0.5205601241691471,0.6026852036361845,0.6616285998084624,8.164784737478483,0.07532020633365132,0.023862480354515908,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,39.98017911897335,47.08028574918179,77.22846923675968,75.79756147464492,79.27878307667966,71.71820000374872,17.86776910755912,1.9047357737275128,19.26655090070882,59.955581598391866,50.0
0.2125,1.0,1.29642267430399,2.5613223879969977,4.772973519210813,0.5181873566445373,0.6038918865483953,0.6635524479198068,8.157406423722867,0.07543670204192413,0.02391233184916323,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,40.67648711069561,46.916715970799935,77.05509659876817,76.05839188376348,79.19841195354128,71.76528649604374,17.725008744808484,1.9089984283612726,19.296647242175776,59.85166488307048,50.0
0.215,1.0,1.316647264880317,2.5561347616595254,4.760963395547819,0.5158159607392073,0.60489587807132,0.6643060508436163,8.151039178422526,0.07553492214528187,0.0239581870498687,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,41.47068187945992,46.775140488265976,76.9098813361034,76.37104409696113,79.1268423101118,71.71702686391593,17.590629133048488,1.9129865479330586,19.321638822285333,59.762179461674755,50.0
0.2175,1.0,1.3344984434561162,2.547404134518561,4.751589061060206,0.5134680102479936,0.6056857619695512,0.6638443722732853,8.145779347248785,0.0756137788001689,0.02399953135044662,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,42.36675522108721,46.65744127636863,76.79457381974113,76.733473154587,79.0650800306985,71.57177332646671,17.46574674936762,1.9166549639894959,19.341275660779942,59.6883181783256,50.0
0.22,1.0,1.3496974853051156,2.5350240270736553,4.745062102379198,0.5111681288240846,0.6062509695673312,0.6621313132876614,8.141716733155842,0.07567229605643988,0.024035897755001857,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,43.37051452077049,46.56557279839002,76.71097937913665,77.14380723898364,79.01405966831321,71.3273157665197,17.35148593623537,1.9199625080357297,19.355342793645853,59.63117914438301,50.0
