Time,chloroplast,cytosol,RuBP,PGA,TP,Ru5P,Pi,ATP,ADP,E_RuBisCO,totRuBP,TPc,Pic,V6,P_0,RuBisCO,PGA_red,TP_red,RuBP_reg,TPT,ATP_S
19.775,1.0,1.0,0.813278006053003,9.382413894718388,0.2382314504284629,0.2620203216256781,0.8886765997100411,0.23217645982699966,1.2678235401730031,3.56,2.498240636845214,0.2,1.4,5.8801285588795,16.0,1.2189873497966701,2.3583385620681057,0.3960704278829302,1.1890275988271453,0.38027046719702134,3.542290529191887
19.95,1.0,1.0,0.808318065099803,9.395561413535223,0.23785745690359686,0.2618865054165251,0.8867887491811318,0.23134448317949483,1.268655516820508,3.56,2.4932806958920137,0.2,1.4,5.8801285588795,16.0,1.2166479732684785,2.3566870477575397,0.39566420188889656,1.1877726234582995,0.3805538110834299,3.5396084449756198
20.125,1.0,1.0,0.8035396146803375,9.408205135863875,0.23749931780580966,0.2617586568648918,0.8849831690123969,0.23054922950792756,1.269450770492075,3.56,2.4885022454725494,0.2,1.4,5.8801285588795,16.0,1.2143918328317618,2.3551024914593266,0.3952746833779172,1.186569249260677,0.38082439299775206,3.5370350649083115
20.3,1.0,1.0,0.7989372224699947,9.420361902141178,0.23715640028520357,0.26163652793766784,0.8832563814896596,0.22978908162187947,1.2702109183781227,3.56,2.4838998532622067,0.2,1.4,5.8801285588795,16.0,1.212216633120994,2.353582472761662,0.3949012490564645,1.1854155604667769,0.38108278305702226,3.534566481402637
20.475,1.0,1.0,0.7945055321726285,9.432048165131745,0.23682809294015977,0.261519878719725,0.8816050443622554,0.22906249291643666,1.270937507083566,3.56,2.4794681629648396,0.2,1.4,5.8801285588795,16.0,1.210120092676005,2.3521246318559053,0.39454329296510343,1.1843096932397232,0.38132952695815636,3.5321988812123983
20.65,1.0,1.0,0.7902392691972437,9.443279986078949,0.2365138054579558,0.2614084773845391,0.8800259467204166,0.22836798437923062,1.2716320156207717,3.56,2.4752018999894547,0.2,1.4,5.8801285588795,16.0,1.208099948130541,2.3507266706017433,0.39420022655966347,1.1832498360992871,0.3815651468835701,3.529928547635716
20.825,1.0,1.0,0.7861332457196629,9.454073032018442,0.23621296822290183,0.2613021001364932,0.8785160048855748,0.22770414171284448,1.2722958582871577,3.56,2.471095876511872,0.2,1.4,5.8801285588795,16.0,1.206153958024273,2.349386353274566,0.3938714787263058,1.1822342301295783,0.3817901423892128,3.5277518621654447
21.0,1.0,1.0,0.7821823651577382,9.464442574179484,0.23592503189687272,0.2612005311280218,0.8770722583263176,0.2270696125694104,1.2729303874305917,3.56,2.4671449959499467,0.2,1.4,5.8801285588795,16.0,1.204279906255357,2.3481015070239715,0.3935564957370556,1.181261168988945,0.38200499127355986,3.525665305635736
21.175,1.0,1.0,0.7783816260889883,9.474403487400766,0.23564946697674177,0.26110356235457466,0.8756918656113801,0.22646310389414304,1.2735368961058589,3.56,2.4633442568811974,0.2,1.4,5.8801285588795,16.0,1.2024756051907484,2.3468700220707803,0.3932547411520048,1.1803289987415473,0.3822101504263564,3.5236654589113554
21.35,1.0,1.0,0.7747261256396725,9.483970250488907,0.2353857633328586,0.2610109935301866,0.8743721004097953,0.2258833793744909,1.274116620625511,3.56,2.4596887564318806,0.2,1.4,5.8801285588795,16.0,1.2007388984515146,2.3456898516683657,0.39296569567403716,1.1794361175290042,0.3824060566561665,3.5217490031638836
21.525,1.0,1.0,0.7712110623742988,9.493156947449693,0.23513342973236573,0.2609226319462597,0.8731103475471174,0.2253292569915557,1.2746707430084465,3.56,2.4561736931665044,0.2,1.4,5.8801285588795,16.0,1.1990676633902855,2.344559011852532,0.3926888569615626,1.178580975099363,0.3825931274959922,3.5199127197764963
21.7,1.0,1.0,0.7678317387143733,9.501977269524124,0.23489199335083064,0.260838292315967,0.8719040991255187,0.22479960667040041,1.2752003933296026,3.56,2.45279436950658,0.2,1.4,5.8801285588795,16.0,1.1974598132778227,2.3434755810026036,0.3924237394043858,1.1777620722095732,0.38277176198643,3.51815348991651
21.875,1.0,1.0,0.7645835629148819,9.510444517963592,0.23466099927535167,0.26075779660649845,0.8707509507145208,0.22429334802586426,1.2757066519741385,3.56,2.4495461937070866,0.2,1.4,5.8801285588795,16.0,1.1959132992154584,2.3424376992347935,0.3921698738674993,1.1769779599164893,0.38294234143604305,3.5164682938123715
22.05,1.0,1.0,0.7614620506265437,9.518571607480645,0.23444001000201814,0.26068097386118916,0.8696485976181447,0.22380944820050933,1.2761905517994936,3.56,2.4464246814187467,0.2,1.4,5.8801285588795,16.0,1.1944261117898762,2.3414435676474086,0.39192680740723296,1.176227238770334,0.3831052301587789,3.5148542097693793
22.225,1.0,1.0,0.7584628260713222,9.526371070314521,0.23422860493033312,0.260607660013377,0.8685948312233839,0.22334691979133267,1.2766530802086706,3.56,2.443425456863526,0.2,1.4,5.8801285588795,16.0,1.1929962824863325,2.340491447435908,0.39169410296388574,1.1755085579234774,0.38326077618845056,3.513308412955961
22.4,1.0,1.0,0.7555816075976388,9.533855093958309,0.23402636404339025,0.26053770578461116,0.8675874970743951,0.22290486235961016,1.2770951376403927,3.56,2.440544238389842,0.2,1.4,5.8801285588795,16.0,1.1916218848760134,2.3395796588943694,0.39147133903464615,1.1748206141662922,0.38340931197044614,3.51182817399006
22.575,1.0,1.0,0.7528142403331162,9.541035458552154,0.23383290868579026,0.2604709542475691,0.8666245730406023,0.22248236322324697,1.2775176367767558,3.56,2.437776871125319,0.2,1.4,5.8801285588795,16.0,1.1903010285955018,2.338706739903933,0.3912580926508868,1.1741622537848044,0.38355113751100256,3.5104107935587847
22.75,1.0,1.0,0.7501566853206246,9.547923560926913,0.23364787619468577,0.26040725542858045,0.8657041436018006,0.22207853162236343,1.2779214683776392,3.56,2.4351193161128286,0.2,1.4,5.8801285588795,16.0,1.1890318748713402,2.3378710885243383,0.3910539825407056,1.1735322286962564,0.38368657985480714,3.50905373701749
22.925,1.0,1.0,0.747605007686644,9.554530447721376,0.23347090728314057,0.26034647227006574,0.8648243601403725,0.221692535627349,1.2783074643726537,3.56,2.432567638478848,0.2,1.4,5.8801285588795,16.0,1.1878126320700269,2.337071092808242,0.3908586425850693,1.1729293050211493,0.3838159393017902,3.5077545940139867
23.1,1.0,1.0,0.7451553812914923,9.56086681393613,0.23330165699352515,0.26028847348659945,0.8639834462419216,0.22132358517443265,1.2786764148255703,3.56,2.430118012083695,0.2,1.4,5.8801285588795,16.0,1.1866415507539694,2.3363052712102825,0.3906717086369903,1.1723523505599633,0.3839394814801404,3.5065110163757742
23.275,1.0,1.0,0.7428040888626698,9.566943007549577,0.23313979488480774,0.2602331329238822,0.8631796988050535,0.22097092652693476,1.2790290734730678,3.56,2.427766719654872,0.2,1.4,5.8801285588795,16.0,1.1855169262593164,2.3355722151482023,0.39049283020534564,1.1718002848978697,0.38405746425698783,3.5053207310225476
23.45,1.0,1.0,0.740547521200316,9.57276903584152,0.23298500423228996,0.2601803295823666,0.8624114866890507,0.22063383966973552,1.2793661603302673,3.56,2.425510151992518,0.2,1.4,5.8801285588795,16.0,1.1844370991714497,2.3348705734054205,0.3903216707818188,1.1712720697586265,0.3841701372283684,3.5041815446936524
23.625,1.0,1.0,0.7383821760995595,9.578354572322572,0.23283698136050812,0.26012994758212427,0.861677248415827,0.2203116365354431,1.2796883634645595,3.56,2.4233448068917625,0.2,1.4,5.8801285588795,16.0,1.183400455344369,2.3341990468995055,0.3901579071146488,1.170766706550381,0.3842777401741128,3.5030913443970455
23.8,1.0,1.0,0.7363046571056608,9.583708963956003,0.23269543510303178,0.2600818760522218,0.8609754895836543,0.22000365950936082,1.279996340490642,3.56,2.421267287897863,0.2,1.4,5.8801285588795,16.0,1.1824054257615744,2.3335563861733553,0.3900012286126812,1.1702832351118853,0.3843805025765234,3.50204809616158
23.975,1.0,1.0,0.7343116721274967,9.588841238562383,0.23256008632259434,0.2600360089816029,0.8603047802351975,0.21970928005882087,1.280290719941182,3.56,2.4192743029197006,0.2,1.4,5.8801285588795,16.0,1.1814504862935489,2.332941389640383,0.38985133687434714,1.169820732613535,0.3844786437208891,3.501049843163344
24.15,1.0,1.0,0.7324000319217809,9.593760112353792,0.23243066745956528,0.25999224505324364,0.8596637522648397,0.2194278974405896,1.280572102559413,3.56,2.417362662713985,0.2,1.4,5.8801285588795,16.0,1.1805341573653825,2.3323529020509586,0.3897079452721467,1.1693783124524453,0.3845723730170434,3.5000947036208405
